id,crop,disease,causal_agent,symptoms_identification,organic_control,chemical_control
151,Lentil,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
152,Lentil,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
153,Lentil,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
762,Linseed,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
763,Linseed,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
764,Linseed,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
765,Linseed,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
766,Linseed,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
671,Litchi,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
672,Litchi,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
673,Litchi,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Often noticed in dense canopies and late season.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
674,Litchi,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
85,Little Millet,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
86,Little Millet,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
87,Little Millet,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
88,Little Millet,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Occurs frequently under stress or high nitrogen levels.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
89,Little Millet,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Occurs frequently under stress or high nitrogen levels.",Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
18,Maize,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
19,Maize,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
20,Maize,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
21,Maize,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Common after heavy rainfall or poor drainage.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
22,Maize,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Symptoms worsen in humid conditions.",Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
553,Mango,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
554,Mango,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
555,Mango,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Often noticed in dense canopies and late season.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
556,Mango,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
822,Mint,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
823,Mint,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
824,Mint,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
825,Mint,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
826,Mint,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
705,Moringa,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
706,Moringa,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
707,Moringa,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
708,Moringa,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
709,Moringa,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
209,Mustard,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
210,Mustard,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
211,Mustard,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
212,Mustard,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
213,Mustard,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
774,Niger,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
775,Niger,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
776,Niger,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
777,Niger,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
778,Niger,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
357,Okra,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
358,Okra,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
359,Okra,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
360,Okra,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
361,Okra,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
844,Olive,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
845,Olive,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
846,Olive,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
847,Olive,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
848,Olive,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
317,Onion,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
318,Onion,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
319,Onion,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
320,Onion,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
321,Onion,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
596,Orange,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
597,Orange,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
598,Orange,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Symptoms worsen in humid conditions.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
599,Orange,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
587,Papaya,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
588,Papaya,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
589,Papaya,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Common after heavy rainfall or poor drainage.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
590,Papaya,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Often noticed in dense canopies and late season.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
853,Pear,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
854,Pear,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
855,Pear,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
856,Pear,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
857,Pear,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
48,Pearl Millet,Downy Mildew,Peronosclerospora spp.,Chlorotic streaks and downy growth underneath; stunting and poor yield. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
49,Pearl Millet,Turcicum Leaf Blight,Exserohilum turcicum,Elongated lesions; leaves may die back. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
50,Pearl Millet,Stalk Rot,Fusarium/Colletotrichum,Rotten stalks causing lodging and yield loss. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,Follow local agricultural extension chemical recommendations with PPE.
51,Pearl Millet,Ear Rot,Fusarium/Aspergillus,"Moldy ears, mycotoxin risk for storage. Symptoms worsen in humid conditions.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
52,Pearl Millet,Maize Mosaic,Potyvirus,"Mosaic symptoms, dwarfing and reduced kernels. Occurs frequently under stress or high nitrogen levels.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
437,Peas,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
438,Peas,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
439,Peas,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
440,Peas,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
441,Peas,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
119,Pigeon Pea,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
120,Pigeon Pea,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
121,Pigeon Pea,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
122,Pigeon Pea,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
123,Pigeon Pea,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
613,Pineapple,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Common after heavy rainfall or poor drainage.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
614,Pineapple,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
615,Pineapple,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Common after heavy rainfall or poor drainage.",Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
616,Pineapple,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Symptoms worsen in humid conditions.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Follow local agricultural extension chemical recommendations with PPE.
862,Plum,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
863,Plum,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Symptoms worsen in humid conditions.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
864,Plum,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
865,Plum,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
866,Plum,Downy Mildew,Peronospora spp.,Yellow patches and downy growth on leaf undersides. Occurs frequently under stress or high nitrogen levels.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Follow local agricultural extension chemical recommendations with PPE.
641,Pomegranate,Anthracnose,Colletotrichum spp.,Sunken dark lesions on fruits and stems; latent infections in fruit. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
642,Pomegranate,Powdery Mildew,Podosphaera spp.,White powder on leaves and fruits; distortion of young growth. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
643,Pomegranate,Wilt,Fusarium/Verticillium,"Wilting, yellowing and vascular browning in stems. Occurs frequently under stress or high nitrogen levels.",Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
644,Pomegranate,Fruit Rot,Phytophthora/Alternaria,Soft rot of fruits often post-harvest or in humid conditions. Common after heavy rainfall or poor drainage.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
328,Potato,Late Blight,Phytophthora infestans,Water-soaked lesions on leaves and fruits; white sporulation under humid conditions. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
329,Potato,Early Blight,Alternaria solani,Concentric ring lesions on leaves; fruit spots. Often noticed in dense canopies and late season.,Seed treatment with Trichoderma; use compost and biofertilizers; ensure good drainage.,"Apply recommended fungicide according to label (e.g., Propiconazole, Tricyclazole) following safety guidelines."
330,Potato,Bacterial Spot,Xanthomonas/ Pseudomonas,Water-soaked lesions with yellow halos on leaves and fruits. Symptoms worsen in humid conditions.,Use resistant varieties; practice crop rotation; apply neem-based biopesticide; remove infected residues.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
331,Potato,Powdery Mildew,Oidium/Erysiphe,White powder on leaves reducing vigor. Occurs frequently under stress or high nitrogen levels.,Introduce beneficial microbes; use cultural practices and timely pruning.,Use systemic insecticide/fungicide as per extension recommendations; observe pre-harvest interval.
